GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G304","2010","US",,,,,,,,,,"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA","304",,,,,,,,,,,,"33000US304","Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA",35727,"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA",1392
"G308","2010","US",,,,,,,,,,"Jonesboro-Paragould, AR CSA","308",,,,,,,,,,,,"33000US308","Jonesboro-Paragould, AR CSA",35231,"Jonesboro-Paragould, AR CSA",1938
"G312","2010","US",,,,,,,,,,"Kansas City-Overland Park-Kansas City, MO-KS CSA","312",,,,,,,,,,,,"33000US312","Kansas City-Overland Park-Kansas City, MO-KS CSA",53354,"Kansas City-Overland Park-Kansas City, MO-KS CSA",1174
"G314","2010","US",,,,,,,,,,"Knoxville-Sevierville-La Follette, TN CSA","314",,,,,,,,,,,,"33000US314","Knoxville-Sevierville-La Follette, TN CSA",40880,"Knoxville-Sevierville-La Follette, TN CSA",1229
"G316","2010","US",,,,,,,,,,"Kokomo-Peru, IN CSA","316",,,,,,,,,,,,"33000US316","Kokomo-Peru, IN CSA",40498,"Kokomo-Peru, IN CSA",3376
"G318","2010","US",,,,,,,,,,"Lafayette-Acadiana, LA CSA","318",,,,,,,,,,,,"33000US318","Lafayette-Acadiana, LA CSA",42223,"Lafayette-Acadiana, LA CSA",2196
"G320","2010","US",,,,,,,,,,"Lafayette-Frankfort, IN CSA","320",,,,,,,,,,,,"33000US320","Lafayette-Frankfort, IN CSA",41621,"Lafayette-Frankfort, IN CSA",2227
"G324","2010","US",,,,,,,,,,"Lake Charles-Jennings, LA CSA","324",,,,,,,,,,,,"33000US324","Lake Charles-Jennings, LA CSA",40177,"Lake Charles-Jennings, LA CSA",2415
"G330","2010","US",,,,,,,,,,"Lansing-East Lansing-Owosso, MI CSA","330",,,,,,,,,,,,"33000US330","Lansing-East Lansing-Owosso, MI CSA",47526,"Lansing-East Lansing-Owosso, MI CSA",1357
"G332","2010","US",,,,,,,,,,"Las Vegas-Paradise-Pahrump, NV CSA","332",,,,,,,,,,,,"33000US332","Las Vegas-Paradise-Pahrump, NV CSA",51006,"Las Vegas-Paradise-Pahrump, NV CSA",843
