GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G142","2010","US",,,,,,,,,,"Birmingham-Hoover-Cullman, AL CSA","142",,,,,,,,,,,,"33000US142","Birmingham-Hoover-Cullman, AL CSA",43119,"Birmingham-Hoover-Cullman, AL CSA",1288
"G148","2010","US",,,,,,,,,,"Boston-Worcester-Manchester, MA-RI-NH CSA","148",,,,,,,,,,,,"33000US148","Boston-Worcester-Manchester, MA-RI-NH CSA",63051,"Boston-Worcester-Manchester, MA-RI-NH CSA",708
"G154","2010","US",,,,,,,,,,"Brownsville-Harlingen-Raymondville, TX CSA","154",,,,,,,,,,,,"33000US154","Brownsville-Harlingen-Raymondville, TX CSA",31776,"Brownsville-Harlingen-Raymondville, TX CSA",1659
"G160","2010","US",,,,,,,,,,"Buffalo-Niagara-Cattaraugus, NY CSA","160",,,,,,,,,,,,"33000US160","Buffalo-Niagara-Cattaraugus, NY CSA",46123,"Buffalo-Niagara-Cattaraugus, NY CSA",979
"G164","2010","US",,,,,,,,,,"Cape Girardeau-Sikeston-Jackson, MO-IL CSA","164",,,,,,,,,,,,"33000US164","Cape Girardeau-Sikeston-Jackson, MO-IL CSA",40401,"Cape Girardeau-Sikeston-Jackson, MO-IL CSA",2157
"G166","2010","US",,,,,,,,,,"Carbondale-Marion-Herrin, IL CSA","166",,,,,,,,,,,,"33000US166","Carbondale-Marion-Herrin, IL CSA",37905,"Carbondale-Marion-Herrin, IL CSA",2993
"G172","2010","US",,,,,,,,,,"Charlotte-Gastonia-Salisbury, NC-SC CSA","172",,,,,,,,,,,,"33000US172","Charlotte-Gastonia-Salisbury, NC-SC CSA",47494,"Charlotte-Gastonia-Salisbury, NC-SC CSA",808
"G174","2010","US",,,,,,,,,,"Chattanooga-Cleveland-Athens, TN-GA CSA","174",,,,,,,,,,,,"33000US174","Chattanooga-Cleveland-Athens, TN-GA CSA",41202,"Chattanooga-Cleveland-Athens, TN-GA CSA",1157
"G176","2010","US",,,,,,,,,,"Chicago-Naperville-Michigan City, IL-IN-WI CSA","176",,,,,,,,,,,,"33000US176","Chicago-Naperville-Michigan City, IL-IN-WI CSA",56807,"Chicago-Naperville-Michigan City, IL-IN-WI CSA",435
"G178","2010","US",,,,,,,,,,"Cincinnati-Middletown-Wilmington, OH-KY-IN CSA","178",,,,,,,,,,,,"33000US178","Cincinnati-Middletown-Wilmington, OH-KY-IN CSA",51356,"Cincinnati-Middletown-Wilmington, OH-KY-IN CSA",780
"G180","2010","US",,,,,,,,,,"Claremont-Lebanon, NH-VT CSA","180",,,,,,,,,,,,"33000US180","Claremont-Lebanon, NH-VT CSA",50451,"Claremont-Lebanon, NH-VT CSA",2115
"G184","2010","US",,,,,,,,,,"Cleveland-Akron-Elyria, OH CSA","184",,,,,,,,,,,,"33000US184","Cleveland-Akron-Elyria, OH CSA",46021,"Cleveland-Akron-Elyria, OH CSA",598
"G188","2010","US",,,,,,,,,,"Clovis-Portales, NM CSA","188",,,,,,,,,,,,"33000US188","Clovis-Portales, NM CSA",34405,"Clovis-Portales, NM CSA",4200
"G192","2010","US",,,,,,,,,,"Columbia-Newberry, SC CSA","192",,,,,,,,,,,,"33000US192","Columbia-Newberry, SC CSA",45796,"Columbia-Newberry, SC CSA",1377
"G194","2010","US",,,,,,,,,,"Columbus-Auburn-Opelika, GA-AL CSA","194",,,,,,,,,,,,"33000US194","Columbus-Auburn-Opelika, GA-AL CSA",36704,"Columbus-Auburn-Opelika, GA-AL CSA",1554
"G198","2010","US",,,,,,,,,,"Columbus-Marion-Chillicothe, OH CSA","198",,,,,,,,,,,,"33000US198","Columbus-Marion-Chillicothe, OH CSA",50150,"Columbus-Marion-Chillicothe, OH CSA",757
"G200","2010","US",,,,,,,,,,"Columbus-West Point, MS CSA","200",,,,,,,,,,,,"33000US200","Columbus-West Point, MS CSA",32373,"Columbus-West Point, MS CSA",4354
"G202","2010","US",,,,,,,,,,"Corbin-London, KY CSA","202",,,,,,,,,,,,"33000US202","Corbin-London, KY CSA",33337,"Corbin-London, KY CSA",4987
