GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G340021029310","2010","NJ",,,"New Jersey","34","Mercer County","021","Hamilton township","29310",,,,,,,,,,,,,,,,,"06000US3402129310","Hamilton township, Mercer County, New Jersey",69217,"Hamilton township, Mercer County, New Jersey",6046
"G340021074000","2010","NJ",,,"New Jersey","34","Mercer County","021","Trenton city","74000",,,,,,,,,,,,,,,,,"06000US3402174000","Trenton city, Mercer County, New Jersey",38040,"Trenton city, Mercer County, New Jersey",4915
"G340023020230","2010","NJ",,,"New Jersey","34","Middlesex County","023","Edison township","20230",,,,,,,,,,,,,,,,,"06000US3402320230","Edison township, Middlesex County, New Jersey",86712,"Edison township, Middlesex County, New Jersey",6874
"G340023054705","2010","NJ",,,"New Jersey","34","Middlesex County","023","Old Bridge township","54705",,,,,,,,,,,,,,,,,"06000US3402354705","Old Bridge township, Middlesex County, New Jersey",82006,"Old Bridge township, Middlesex County, New Jersey",8957
"G340023082000","2010","NJ",,,"New Jersey","34","Middlesex County","023","Woodbridge township","82000",,,,,,,,,,,,,,,,,"06000US3402382000","Woodbridge township, Middlesex County, New Jersey",77303,"Woodbridge township, Middlesex County, New Jersey",6440
"G340025045990","2010","NJ",,,"New Jersey","34","Monmouth County","025","Middletown township","45990",,,,,,,,,,,,,,,,,"06000US3402545990","Middletown township, Monmouth County, New Jersey",97484,"Middletown township, Monmouth County, New Jersey",8430
"G340029007420","2010","NJ",,,"New Jersey","34","Ocean County","029","Brick township","07420",,,,,,,,,,,,,,,,,"06000US3402907420","Brick township, Ocean County, New Jersey",57044,"Brick township, Ocean County, New Jersey",4638
"G340029038550","2010","NJ",,,"New Jersey","34","Ocean County","029","Lakewood township","38550",,,,,,,,,,,,,,,,,"06000US3402938550","Lakewood township, Ocean County, New Jersey",40921,"Lakewood township, Ocean County, New Jersey",3710
"G340029073125","2010","NJ",,,"New Jersey","34","Ocean County","029","Toms River township","73125",,,,,,,,,,,,,,,,,"06000US3402973125","Toms River township, Ocean County, New Jersey",74108,"Toms River township, Ocean County, New Jersey",3510
"G340031013690","2010","NJ",,,"New Jersey","34","Passaic County","031","Clifton city","13690",,,,,,,,,,,,,,,,,"06000US3403113690","Clifton city, Passaic County, New Jersey",58716,"Clifton city, Passaic County, New Jersey",6244
"G340031056550","2010","NJ",,,"New Jersey","34","Passaic County","031","Passaic city","56550",,,,,,,,,,,,,,,,,"06000US3403156550","Passaic city, Passaic County, New Jersey",28834,"Passaic city, Passaic County, New Jersey",3126
"G340031057000","2010","NJ",,,"New Jersey","34","Passaic County","031","Paterson city","57000",,,,,,,,,,,,,,,,,"06000US3403157000","Paterson city, Passaic County, New Jersey",32068,"Paterson city, Passaic County, New Jersey",2935
"G340039021000","2010","NJ",,,"New Jersey","34","Union County","039","Elizabeth city","21000",,,,,,,,,,,,,,,,,"06000US3403921000","Elizabeth city, Union County, New Jersey",43891,"Elizabeth city, Union County, New Jersey",2887
"G360001001000","2010","NY",,,"New York","36","Albany County","001","Albany city","01000",,,,,,,,,,,,,,,,,"06000US3600101000","Albany city, Albany County, New York",33050,"Albany city, Albany County, New York",4022
"G360001017343","2010","NY",,,"New York","36","Albany County","001","Colonie town","17343",,,,,,,,,,,,,,,,,"06000US3600117343","Colonie town, Albany County, New York",67700,"Colonie town, Albany County, New York",5286
"G360005008510","2010","NY",,,"New York","36","Bronx County","005","Bronx borough","08510",,,,,,,,,,,,,,,,,"06000US3600508510","Bronx borough, Bronx County, New York",32568,"Bronx borough, Bronx County, New York",1393
"G360029002000","2010","NY",,,"New York","36","Erie County","029","Amherst town","02000",,,,,,,,,,,,,,,,,"06000US3602902000","Amherst town, Erie County, New York",63359,"Amherst town, Erie County, New York",6144
"G360029011000","2010","NY",,,"New York","36","Erie County","029","Buffalo city","11000",,,,,,,,,,,,,,,,,"06000US3602911000","Buffalo city, Erie County, New York",28490,"Buffalo city, Erie County, New York",2374
"G360029015011","2010","NY",,,"New York","36","Erie County","029","Cheektowaga town","15011",,,,,,,,,,,,,,,,,"06000US3602915011","Cheektowaga town, Erie County, New York",45589,"Cheektowaga town, Erie County, New York",2972
"G360029075000","2010","NY",,,"New York","36","Erie County","029","Tonawanda town","75000",,,,,,,,,,,,,,,,,"06000US3602975000","Tonawanda town, Erie County, New York",50243,"Tonawanda town, Erie County, New York",4317
"G360047010022","2010","NY",,,"New York","36","Kings County","047","Brooklyn borough","10022",,,,,,,,,,,,,,,,,"06000US3604710022","Brooklyn borough, Kings County, New York",42143,"Brooklyn borough, Kings County, New York",615
"G360055030290","2010","NY",,,"New York","36","Monroe County","055","Greece town","30290",,,,,,,,,,,,,,,,,"06000US3605530290","Greece town, Monroe County, New York",51934,"Greece town, Monroe County, New York",3047
"G360055063000","2010","NY",,,"New York","36","Monroe County","055","Rochester city","63000",,,,,,,,,,,,,,,,,"06000US3605563000","Rochester city, Monroe County, New York",27711,"Rochester city, Monroe County, New York",1995
"G360059034000","2010","NY",,,"New York","36","Nassau County","059","Hempstead town","34000",,,,,,,,,,,,,,,,,"06000US3605934000","Hempstead town, Nassau County, New York",87382,"Hempstead town, Nassau County, New York",3109
"G360059053000","2010","NY",,,"New York","36","Nassau County","059","North Hempstead town","53000",,,,,,,,,,,,,,,,,"06000US3605953000","North Hempstead town, Nassau County, New York",95221,"North Hempstead town, Nassau County, New York",6554
"G360059056000","2010","NY",,,"New York","36","Nassau County","059","Oyster Bay town","56000",,,,,,,,,,,,,,,,,"06000US3605956000","Oyster Bay town, Nassau County, New York",105457,"Oyster Bay town, Nassau County, New York",5133
"G360061044919","2010","NY",,,"New York","36","New York County","061","Manhattan borough","44919",,,,,,,,,,,,,,,,,"06000US3606144919","Manhattan borough, New York County, New York",63832,"Manhattan borough, New York County, New York",2125
"G360067073000","2010","NY",,,"New York","36","Onondaga County","067","Syracuse city","73000",,,,,,,,,,,,,,,,,"06000US3606773000","Syracuse city, Onondaga County, New York",29621,"Syracuse city, Onondaga County, New York",2434
"G360081060323","2010","NY",,,"New York","36","Queens County","081","Queens borough","60323",,,,,,,,,,,,,,,,,"06000US3608160323","Queens borough, Queens County, New York",53054,"Queens borough, Queens County, New York",1310
"G360085070915","2010","NY",,,"New York","36","Richmond County","085","Staten Island borough","70915",,,,,,,,,,,,,,,,,"06000US3608570915","Staten Island borough, Richmond County, New York",70560,"Staten Island borough, Richmond County, New York",2862
"G360087015968","2010","NY",,,"New York","36","Rockland County","087","Clarkstown town","15968",,,,,,,,,,,,,,,,,"06000US3608715968","Clarkstown town, Rockland County, New York",96168,"Clarkstown town, Rockland County, New York",7928
"G360087060510","2010","NY",,,"New York","36","Rockland County","087","Ramapo town","60510",,,,,,,,,,,,,,,,,"06000US3608760510","Ramapo town, Rockland County, New York",64777,"Ramapo town, Rockland County, New York",5646
"G360093065508","2010","NY",,,"New York","36","Schenectady County","093","Schenectady city","65508",,,,,,,,,,,,,,,,,"06000US3609365508","Schenectady city, Schenectady County, New York",36232,"Schenectady city, Schenectady County, New York",2436
"G360103004000","2010","NY",,,"New York","36","Suffolk County","103","Babylon town","04000",,,,,,,,,,,,,,,,,"06000US3610304000","Babylon town, Suffolk County, New York",79329,"Babylon town, Suffolk County, New York",4625
"G360103010000","2010","NY",,,"New York","36","Suffolk County","103","Brookhaven town","10000",,,,,,,,,,,,,,,,,"06000US3610310000","Brookhaven town, Suffolk County, New York",81051,"Brookhaven town, Suffolk County, New York",1977
"G360103037000","2010","NY",,,"New York","36","Suffolk County","103","Huntington town","37000",,,,,,,,,,,,,,,,,"06000US3610337000","Huntington town, Suffolk County, New York",97315,"Huntington town, Suffolk County, New York",6593
"G360103038000","2010","NY",,,"New York","36","Suffolk County","103","Islip town","38000",,,,,,,,,,,,,,,,,"06000US3610338000","Islip town, Suffolk County, New York",76964,"Islip town, Suffolk County, New York",3833
"G360103068000","2010","NY",,,"New York","36","Suffolk County","103","Smithtown town","68000",,,,,,,,,,,,,,,,,"06000US3610368000","Smithtown town, Suffolk County, New York",102269,"Smithtown town, Suffolk County, New York",5415
"G360119030367","2010","NY",,,"New York","36","Westchester County","119","Greenburgh town","30367",,,,,,,,,,,,,,,,,"06000US3611930367","Greenburgh town, Westchester County, New York",97862,"Greenburgh town, Westchester County, New York",13289
"G360119049121","2010","NY",,,"New York","36","Westchester County","119","Mount Vernon city","49121",,,,,,,,,,,,,,,,,"06000US3611949121","Mount Vernon city, Westchester County, New York",46940,"Mount Vernon city, Westchester County, New York",4586
"G360119050617","2010","NY",,,"New York","36","Westchester County","119","New Rochelle city","50617",,,,,,,,,,,,,,,,,"06000US3611950617","New Rochelle city, Westchester County, New York",70232,"New Rochelle city, Westchester County, New York",10299
"G360119084000","2010","NY",,,"New York","36","Westchester County","119","Yonkers city","84000",,,,,,,,,,,,,,,,,"06000US3611984000","Yonkers city, Westchester County, New York",61831,"Yonkers city, Westchester County, New York",3240
"G380017025700","2010","ND",,,"North Dakota","38","Cass County","017","Fargo city","25700",,,,,,,,,,,,,,,,,"06000US3801725700","Fargo city, Cass County, North Dakota",45199,"Fargo city, Cass County, North Dakota",3221
"G390035016000","2010","OH",,,"Ohio","39","Cuyahoga County","035","Cleveland city","16000",,,,,,,,,,,,,,,,,"06000US3903516000","Cleveland city, Cuyahoga County, Ohio",25977,"Cleveland city, Cuyahoga County, Ohio",995
"G390035061000","2010","OH",,,"Ohio","39","Cuyahoga County","035","Parma city","61000",,,,,,,,,,,,,,,,,"06000US3903561000","Parma city, Cuyahoga County, Ohio",45386,"Parma city, Cuyahoga County, Ohio",4129
"G390049018000","2010","OH",,,"Ohio","39","Franklin County","049","Columbus city","18000",,,,,,,,,,,,,,,,,"06000US3904918000","Columbus city, Franklin County, Ohio",41165,"Columbus city, Franklin County, Ohio",1064
"G390061015000","2010","OH",,,"Ohio","39","Hamilton County","061","Cincinnati city","15000",,,,,,,,,,,,,,,,,"06000US3906115000","Cincinnati city, Hamilton County, Ohio",34110,"Cincinnati city, Hamilton County, Ohio",2189
"G390093044856","2010","OH",,,"Ohio","39","Lorain County","093","Lorain city","44856",,,,,,,,,,,,,,,,,"06000US3909344856","Lorain city, Lorain County, Ohio",34346,"Lorain city, Lorain County, Ohio",2457
"G390095077000","2010","OH",,,"Ohio","39","Lucas County","095","Toledo city","77000",,,,,,,,,,,,,,,,,"06000US3909577000","Toledo city, Lucas County, Ohio",31708,"Toledo city, Lucas County, Ohio",1317
"G390099088000","2010","OH",,,"Ohio","39","Mahoning County","099","Youngstown city","88000",,,,,,,,,,,,,,,,,"06000US3909988000","Youngstown city, Mahoning County, Ohio",23761,"Youngstown city, Mahoning County, Ohio",2717
"G390113021000","2010","OH",,,"Ohio","39","Montgomery County","113","Dayton city","21000",,,,,,,,,,,,,,,,,"06000US3911321000","Dayton city, Montgomery County, Ohio",28050,"Dayton city, Montgomery County, Ohio",2017
"G390151012000","2010","OH",,,"Ohio","39","Stark County","151","Canton city","12000",,,,,,,,,,,,,,,,,"06000US3915112000","Canton city, Stark County, Ohio",30232,"Canton city, Stark County, Ohio",3106
"G390153001000","2010","OH",,,"Ohio","39","Summit County","153","Akron city","01000",,,,,,,,,,,,,,,,,"06000US3915301000","Akron city, Summit County, Ohio",31171,"Akron city, Summit County, Ohio",1715
"G420003061000","2010","PA",,,"Pennsylvania","42","Allegheny County","003","Pittsburgh city","61000",,,,,,,,,,,,,,,,,"06000US4200361000","Pittsburgh city, Allegheny County, Pennsylvania",36196,"Pittsburgh city, Allegheny County, Pennsylvania",1743
"G420011063624","2010","PA",,,"Pennsylvania","42","Berks County","011","Reading city","63624",,,,,,,,,,,,,,,,,"06000US4201163624","Reading city, Berks County, Pennsylvania",25045,"Reading city, Berks County, Pennsylvania",2811
"G420045079000","2010","PA",,,"Pennsylvania","42","Delaware County","045","Upper Darby township","79000",,,,,,,,,,,,,,,,,"06000US4204579000","Upper Darby township, Delaware County, Pennsylvania",52544,"Upper Darby township, Delaware County, Pennsylvania",5583
"G420049024000","2010","PA",,,"Pennsylvania","42","Erie County","049","Erie city","24000",,,,,,,,,,,,,,,,,"06000US4204924000","Erie city, Erie County, Pennsylvania",28747,"Erie city, Erie County, Pennsylvania",2439
"G420069069000","2010","PA",,,"Pennsylvania","42","Lackawanna County","069","Scranton city","69000",,,,,,,,,,,,,,,,,"06000US4206969000","Scranton city, Lackawanna County, Pennsylvania",35596,"Scranton city, Lackawanna County, Pennsylvania",2407
"G420077002000","2010","PA",,,"Pennsylvania","42","Lehigh County","077","Allentown city","02000",,,,,,,,,,,,,,,,,"06000US4207702000","Allentown city, Lehigh County, Pennsylvania",32192,"Allentown city, Lehigh County, Pennsylvania",2875
"G420101060000","2010","PA",,,"Pennsylvania","42","Philadelphia County","101","Philadelphia city","60000",,,,,,,,,,,,,,,,,"06000US4210160000","Philadelphia city, Philadelphia County, Pennsylvania",34400,"Philadelphia city, Philadelphia County, Pennsylvania",1159
"G440003074300","2010","RI",,,"Rhode Island","44","Kent County","003","Warwick city","74300",,,,,,,,,,,,,,,,,"06000US4400374300","Warwick city, Kent County, Rhode Island",51037,"Warwick city, Kent County, Rhode Island",2710
"G440007019180","2010","RI",,,"Rhode Island","44","Providence County","007","Cranston city","19180",,,,,,,,,,,,,,,,,"06000US4400719180","Cranston city, Providence County, Rhode Island",57649,"Cranston city, Providence County, Rhode Island",8461
"G440007054640","2010","RI",,,"Rhode Island","44","Providence County","007","Pawtucket city","54640",,,,,,,,,,,,,,,,,"06000US4400754640","Pawtucket city, Providence County, Rhode Island",33904,"Pawtucket city, Providence County, Rhode Island",7210
"G440007059000","2010","RI",,,"Rhode Island","44","Providence County","007","Providence city","59000",,,,,,,,,,,,,,,,,"06000US4400759000","Providence city, Providence County, Rhode Island",37237,"Providence city, Providence County, Rhode Island",2848
"G460099059020","2010","SD",,,"South Dakota","46","Minnehaha County","099","Sioux Falls city","59020",,,,,,,,,,,,,,,,,"06000US4609959020","Sioux Falls city, Minnehaha County, South Dakota",44277,"Sioux Falls city, Minnehaha County, South Dakota",2160
"G460103052980","2010","SD",,,"South Dakota","46","Pennington County","103","Rapid City city","52980",,,,,,,,,,,,,,,,,"06000US4610352980","Rapid City city, Pennington County, South Dakota",41653,"Rapid City city, Pennington County, South Dakota",3853
"G550009031000","2010","WI",,,"Wisconsin","55","Brown County","009","Green Bay city","31000",,,,,,,,,,,,,,,,,"06000US5500931000","Green Bay city, Brown County, Wisconsin",41078,"Green Bay city, Brown County, Wisconsin",1876
"G550025048000","2010","WI",,,"Wisconsin","55","Dane County","025","Madison city","48000",,,,,,,,,,,,,,,,,"06000US5502548000","Madison city, Dane County, Wisconsin",50508,"Madison city, Dane County, Wisconsin",1861
"G550059039225","2010","WI",,,"Wisconsin","55","Kenosha County","059","Kenosha city","39225",,,,,,,,,,,,,,,,,"06000US5505939225","Kenosha city, Kenosha County, Wisconsin",42294,"Kenosha city, Kenosha County, Wisconsin",3912
"G550079053000","2010","WI",,,"Wisconsin","55","Milwaukee County","079","Milwaukee city","53000",,,,,,,,,,,,,,,,,"06000US5507953000","Milwaukee city, Milwaukee County, Wisconsin",32911,"Milwaukee city, Milwaukee County, Wisconsin",1243
"G550101066000","2010","WI",,,"Wisconsin","55","Racine County","101","Racine city","66000",,,,,,,,,,,,,,,,,"06000US5510166000","Racine city, Racine County, Wisconsin",33473,"Racine city, Racine County, Wisconsin",2549
"G550133084250","2010","WI",,,"Wisconsin","55","Waukesha County","133","Waukesha city","84250",,,,,,,,,,,,,,,,,"06000US5513384250","Waukesha city, Waukesha County, Wisconsin",53149,"Waukesha city, Waukesha County, Wisconsin",3015
"G550139060500","2010","WI",,,"Wisconsin","55","Winnebago County","139","Oshkosh city","60500",,,,,,,,,,,,,,,,,"06000US5513960500","Oshkosh city, Winnebago County, Wisconsin",41165,"Oshkosh city, Winnebago County, Wisconsin",4695
