GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G88273","2010","US",,,,,,,,,,,,,,,"Tracy, CA Urbanized Area","88273",,,,,,,"40000US88273","Tracy, CA Urbanized Area",65154,"Tracy, CA Urbanized Area",9947
"G88462","2010","US",,,,,,,,,,,,,,,"Trenton, NJ Urbanized Area","88462",,,,,,,"40000US88462","Trenton, NJ Urbanized Area",62913,"Trenton, NJ Urbanized Area",3877
"G88732","2010","US",,,,,,,,,,,,,,,"Tucson, AZ Urbanized Area","88732",,,,,,,"40000US88732","Tucson, AZ Urbanized Area",40648,"Tucson, AZ Urbanized Area",1344
"G88948","2010","US",,,,,,,,,,,,,,,"Tulsa, OK Urbanized Area","88948",,,,,,,"40000US88948","Tulsa, OK Urbanized Area",41955,"Tulsa, OK Urbanized Area",951
"G89083","2010","US",,,,,,,,,,,,,,,"Turlock, CA Urbanized Area","89083",,,,,,,"40000US89083","Turlock, CA Urbanized Area",52514,"Turlock, CA Urbanized Area",4709
"G89110","2010","US",,,,,,,,,,,,,,,"Tuscaloosa, AL Urbanized Area","89110",,,,,,,"40000US89110","Tuscaloosa, AL Urbanized Area",39197,"Tuscaloosa, AL Urbanized Area",2793
"G89326","2010","US",,,,,,,,,,,,,,,"Tyler, TX Urbanized Area","89326",,,,,,,"40000US89326","Tyler, TX Urbanized Area",39733,"Tyler, TX Urbanized Area",2932
"G89785","2010","US",,,,,,,,,,,,,,,"Utica, NY Urbanized Area","89785",,,,,,,"40000US89785","Utica, NY Urbanized Area",42136,"Utica, NY Urbanized Area",2550
"G89866","2010","US",,,,,,,,,,,,,,,"Vacaville, CA Urbanized Area","89866",,,,,,,"40000US89866","Vacaville, CA Urbanized Area",70617,"Vacaville, CA Urbanized Area",6738
"G89974","2010","US",,,,,,,,,,,,,,,"Valdosta, GA Urbanized Area","89974",,,,,,,"40000US89974","Valdosta, GA Urbanized Area",31168,"Valdosta, GA Urbanized Area",5221
"G90028","2010","US",,,,,,,,,,,,,,,"Vallejo, CA Urbanized Area","90028",,,,,,,"40000US90028","Vallejo, CA Urbanized Area",61259,"Vallejo, CA Urbanized Area",3816
"G90406","2010","US",,,,,,,,,,,,,,,"Vero Beach--Sebastian, FL Urbanized Area","90406",,,,,,,"40000US90406","Vero Beach--Sebastian, FL Urbanized Area",40622,"Vero Beach--Sebastian, FL Urbanized Area",3040
"G90541","2010","US",,,,,,,,,,,,,,,"Victorville--Hesperia--Apple Valley, CA Urbanized Area","90541",,,,,,,"40000US90541","Victorville--Hesperia--Apple Valley, CA Urbanized Area",45856,"Victorville--Hesperia--Apple Valley, CA Urbanized Area",3770
"G90730","2010","US",,,,,,,,,,,,,,,"Vineland, NJ Urbanized Area","90730",,,,,,,"40000US90730","Vineland, NJ Urbanized Area",50115,"Vineland, NJ Urbanized Area",6286
"G90892","2010","US",,,,,,,,,,,,,,,"Virginia Beach, VA Urbanized Area","90892",,,,,,,"40000US90892","Virginia Beach, VA Urbanized Area",56547,"Virginia Beach, VA Urbanized Area",941
"G90946","2010","US",,,,,,,,,,,,,,,"Visalia, CA Urbanized Area","90946",,,,,,,"40000US90946","Visalia, CA Urbanized Area",45610,"Visalia, CA Urbanized Area",3588
"G91027","2010","US",,,,,,,,,,,,,,,"Waco, TX Urbanized Area","91027",,,,,,,"40000US91027","Waco, TX Urbanized Area",34485,"Waco, TX Urbanized Area",2937
"G91783","2010","US",,,,,,,,,,,,,,,"Warner Robins, GA Urbanized Area","91783",,,,,,,"40000US91783","Warner Robins, GA Urbanized Area",50520,"Warner Robins, GA Urbanized Area",5307
"G92242","2010","US",,,,,,,,,,,,,,,"Washington, DC--VA--MD Urbanized Area","92242",,,,,,,"40000US92242","Washington, DC--VA--MD Urbanized Area",83945,"Washington, DC--VA--MD Urbanized Area",1255
"G92485","2010","US",,,,,,,,,,,,,,,"Waterbury, CT Urbanized Area","92485",,,,,,,"40000US92485","Waterbury, CT Urbanized Area",48374,"Waterbury, CT Urbanized Area",4784
"G92593","2010","US",,,,,,,,,,,,,,,"Waterloo, IA Urbanized Area","92593",,,,,,,"40000US92593","Waterloo, IA Urbanized Area",40958,"Waterloo, IA Urbanized Area",3880
"G92890","2010","US",,,,,,,,,,,,,,,"Watsonville, CA Urbanized Area","92890",,,,,,,"40000US92890","Watsonville, CA Urbanized Area",48763,"Watsonville, CA Urbanized Area",5633
"G93025","2010","US",,,,,,,,,,,,,,,"Wausau, WI Urbanized Area","93025",,,,,,,"40000US93025","Wausau, WI Urbanized Area",39981,"Wausau, WI Urbanized Area",2049
"G93592","2010","US",,,,,,,,,,,,,,,"Weirton, WV--Steubenville, OH--PA Urbanized Area","93592",,,,,,,"40000US93592","Weirton, WV--Steubenville, OH--PA Urbanized Area",35449,"Weirton, WV--Steubenville, OH--PA Urbanized Area",3798
"G94294","2010","US",,,,,,,,,,,,,,,"Westminster, MD Urbanized Area","94294",,,,,,,"40000US94294","Westminster, MD Urbanized Area",78571,"Westminster, MD Urbanized Area",5571
"G94726","2010","US",,,,,,,,,,,,,,,"Wheeling, WV--OH Urbanized Area","94726",,,,,,,"40000US94726","Wheeling, WV--OH Urbanized Area",33612,"Wheeling, WV--OH Urbanized Area",4073
"G95077","2010","US",,,,,,,,,,,,,,,"Wichita, KS Urbanized Area","95077",,,,,,,"40000US95077","Wichita, KS Urbanized Area",43575,"Wichita, KS Urbanized Area",1835
"G95104","2010","US",,,,,,,,,,,,,,,"Wichita Falls, TX Urbanized Area","95104",,,,,,,"40000US95104","Wichita Falls, TX Urbanized Area",36976,"Wichita Falls, TX Urbanized Area",2338
"G95833","2010","US",,,,,,,,,,,,,,,"Wilmington, NC Urbanized Area","95833",,,,,,,"40000US95833","Wilmington, NC Urbanized Area",45872,"Wilmington, NC Urbanized Area",2792
"G96103","2010","US",,,,,,,,,,,,,,,"Winchester, VA Urbanized Area","96103",,,,,,,"40000US96103","Winchester, VA Urbanized Area",54678,"Winchester, VA Urbanized Area",8544
"G96670","2010","US",,,,,,,,,,,,,,,"Winston-Salem, NC Urbanized Area","96670",,,,,,,"40000US96670","Winston-Salem, NC Urbanized Area",42666,"Winston-Salem, NC Urbanized Area",2304
"G96697","2010","US",,,,,,,,,,,,,,,"Winter Haven, FL Urbanized Area","96697",,,,,,,"40000US96697","Winter Haven, FL Urbanized Area",34058,"Winter Haven, FL Urbanized Area",2247
"G97291","2010","US",,,,,,,,,,,,,,,"Worcester, MA--CT Urbanized Area","97291",,,,,,,"40000US97291","Worcester, MA--CT Urbanized Area",56522,"Worcester, MA--CT Urbanized Area",2348
"G97507","2010","US",,,,,,,,,,,,,,,"Yakima, WA Urbanized Area","97507",,,,,,,"40000US97507","Yakima, WA Urbanized Area",40582,"Yakima, WA Urbanized Area",5249
"G97561","2010","PR",,,,,,,,,,,,,,,"Yauco, PR Urbanized Area","97561",,,,,,,"40000US97561","Yauco, PR Urbanized Area",14360,"Yauco, PR Urbanized Area",1286
"G97750","2010","US",,,,,,,,,,,,,,,"York, PA Urbanized Area","97750",,,,,,,"40000US97750","York, PA Urbanized Area",51767,"York, PA Urbanized Area",1653
"G97831","2010","US",,,,,,,,,,,,,,,"Youngstown, OH--PA Urbanized Area","97831",,,,,,,"40000US97831","Youngstown, OH--PA Urbanized Area",36391,"Youngstown, OH--PA Urbanized Area",1744
"G97939","2010","US",,,,,,,,,,,,,,,"Yuba City, CA Urbanized Area","97939",,,,,,,"40000US97939","Yuba City, CA Urbanized Area",42372,"Yuba City, CA Urbanized Area",2790
"G98020","2010","US",,,,,,,,,,,,,,,"Yuma, AZ--CA Urbanized Area","98020",,,,,,,"40000US98020","Yuma, AZ--CA Urbanized Area",41960,"Yuma, AZ--CA Urbanized Area",5054
"G98182","2010","US",,,,,,,,,,,,,,,"Zephyrhills, FL Urbanized Area","98182",,,,,,,"40000US98182","Zephyrhills, FL Urbanized Area",35180,"Zephyrhills, FL Urbanized Area",3739
