GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G67105","2010","US",,,,,,,,,,,,,,,"Palm Bay--Melbourne, FL Urbanized Area","67105",,,,,,,"40000US67105","Palm Bay--Melbourne, FL Urbanized Area",46634,"Palm Bay--Melbourne, FL Urbanized Area",1403
"G67294","2010","US",,,,,,,,,,,,,,,"Panama City, FL Urbanized Area","67294",,,,,,,"40000US67294","Panama City, FL Urbanized Area",44788,"Panama City, FL Urbanized Area",3069
"G67672","2010","US",,,,,,,,,,,,,,,"Parkersburg, WV--OH Urbanized Area","67672",,,,,,,"40000US67672","Parkersburg, WV--OH Urbanized Area",36069,"Parkersburg, WV--OH Urbanized Area",2007
"G68482","2010","US",,,,,,,,,,,,,,,"Pensacola, FL--AL Urbanized Area","68482",,,,,,,"40000US68482","Pensacola, FL--AL Urbanized Area",42052,"Pensacola, FL--AL Urbanized Area",1818
"G68509","2010","US",,,,,,,,,,,,,,,"Peoria, IL Urbanized Area","68509",,,,,,,"40000US68509","Peoria, IL Urbanized Area",46742,"Peoria, IL Urbanized Area",2020
"G69076","2010","US",,,,,,,,,,,,,,,"Philadelphia, PA--NJ--DE--MD Urbanized Area","69076",,,,,,,"40000US69076","Philadelphia, PA--NJ--DE--MD Urbanized Area",56203,"Philadelphia, PA--NJ--DE--MD Urbanized Area",593
"G69184","2010","US",,,,,,,,,,,,,,,"Phoenix--Mesa, AZ Urbanized Area","69184",,,,,,,"40000US69184","Phoenix--Mesa, AZ Urbanized Area",46340,"Phoenix--Mesa, AZ Urbanized Area",762
"G69697","2010","US",,,,,,,,,,,,,,,"Pittsburgh, PA Urbanized Area","69697",,,,,,,"40000US69697","Pittsburgh, PA Urbanized Area",47151,"Pittsburgh, PA Urbanized Area",993
"G70426","2010","US",,,,,,,,,,,,,,,"Pocatello, ID Urbanized Area","70426",,,,,,,"40000US70426","Pocatello, ID Urbanized Area",35747,"Pocatello, ID Urbanized Area",2678
"G70642","2010","PR",,,,,,,,,,,,,,,"Ponce, PR Urbanized Area","70642",,,,,,,"40000US70642","Ponce, PR Urbanized Area",16060,"Ponce, PR Urbanized Area",1028
"G70993","2010","US",,,,,,,,,,,,,,,"Port Arthur, TX Urbanized Area","70993",,,,,,,"40000US70993","Port Arthur, TX Urbanized Area",39145,"Port Arthur, TX Urbanized Area",4726
"G71074","2010","US",,,,,,,,,,,,,,,"Porterville, CA Urbanized Area","71074",,,,,,,"40000US71074","Porterville, CA Urbanized Area",45029,"Porterville, CA Urbanized Area",5986
"G71155","2010","US",,,,,,,,,,,,,,,"Port Huron, MI Urbanized Area","71155",,,,,,,"40000US71155","Port Huron, MI Urbanized Area",40049,"Port Huron, MI Urbanized Area",4500
"G71263","2010","US",,,,,,,,,,,,,,,"Portland, ME Urbanized Area","71263",,,,,,,"40000US71263","Portland, ME Urbanized Area",51944,"Portland, ME Urbanized Area",2591
"G71317","2010","US",,,,,,,,,,,,,,,"Portland, OR--WA Urbanized Area","71317",,,,,,,"40000US71317","Portland, OR--WA Urbanized Area",52356,"Portland, OR--WA Urbanized Area",811
"G71479","2010","US",,,,,,,,,,,,,,,"Port St. Lucie, FL Urbanized Area","71479",,,,,,,"40000US71479","Port St. Lucie, FL Urbanized Area",40887,"Port St. Lucie, FL Urbanized Area",1708
"G71749","2010","US",,,,,,,,,,,,,,,"Pottstown, PA Urbanized Area","71749",,,,,,,"40000US71749","Pottstown, PA Urbanized Area",59534,"Pottstown, PA Urbanized Area",4392
"G71803","2010","US",,,,,,,,,,,,,,,"Poughkeepsie--Newburgh, NY Urbanized Area","71803",,,,,,,"40000US71803","Poughkeepsie--Newburgh, NY Urbanized Area",65927,"Poughkeepsie--Newburgh, NY Urbanized Area",2432
"G72046","2010","US",,,,,,,,,,,,,,,"Prescott, AZ Urbanized Area","72046",,,,,,,"40000US72046","Prescott, AZ Urbanized Area",40045,"Prescott, AZ Urbanized Area",2039
"G72505","2010","US",,,,,,,,,,,,,,,"Providence, RI--MA Urbanized Area","72505",,,,,,,"40000US72505","Providence, RI--MA Urbanized Area",50413,"Providence, RI--MA Urbanized Area",885
"G72559","2010","US",,,,,,,,,,,,,,,"Provo--Orem, UT Urbanized Area","72559",,,,,,,"40000US72559","Provo--Orem, UT Urbanized Area",51288,"Provo--Orem, UT Urbanized Area",1363
"G72613","2010","US",,,,,,,,,,,,,,,"Pueblo, CO Urbanized Area","72613",,,,,,,"40000US72613","Pueblo, CO Urbanized Area",35800,"Pueblo, CO Urbanized Area",3539
"G73153","2010","US",,,,,,,,,,,,,,,"Racine, WI Urbanized Area","73153",,,,,,,"40000US73153","Racine, WI Urbanized Area",45667,"Racine, WI Urbanized Area",4403
"G73180","2010","US",,,,,,,,,,,,,,,"Radcliff--Elizabethtown, KY Urbanized Area","73180",,,,,,,"40000US73180","Radcliff--Elizabethtown, KY Urbanized Area",41090,"Radcliff--Elizabethtown, KY Urbanized Area",3193
"G73261","2010","US",,,,,,,,,,,,,,,"Raleigh, NC Urbanized Area","73261",,,,,,,"40000US73261","Raleigh, NC Urbanized Area",58195,"Raleigh, NC Urbanized Area",2351
"G73396","2010","US",,,,,,,,,,,,,,,"Rapid City, SD Urbanized Area","73396",,,,,,,"40000US73396","Rapid City, SD Urbanized Area",40687,"Rapid City, SD Urbanized Area",4293
"G73693","2010","US",,,,,,,,,,,,,,,"Reading, PA Urbanized Area","73693",,,,,,,"40000US73693","Reading, PA Urbanized Area",46190,"Reading, PA Urbanized Area",3630
"G73774","2010","US",,,,,,,,,,,,,,,"Redding, CA Urbanized Area","73774",,,,,,,"40000US73774","Redding, CA Urbanized Area",39284,"Redding, CA Urbanized Area",2938
"G74179","2010","US",,,,,,,,,,,,,,,"Reno, NV Urbanized Area","74179",,,,,,,"40000US74179","Reno, NV Urbanized Area",46298,"Reno, NV Urbanized Area",2922
"G74746","2010","US",,,,,,,,,,,,,,,"Richmond, VA Urbanized Area","74746",,,,,,,"40000US74746","Richmond, VA Urbanized Area",52178,"Richmond, VA Urbanized Area",1225
"G75340","2010","US",,,,,,,,,,,,,,,"Riverside--San Bernardino, CA Urbanized Area","75340",,,,,,,"40000US75340","Riverside--San Bernardino, CA Urbanized Area",50872,"Riverside--San Bernardino, CA Urbanized Area",1073
"G75421","2010","US",,,,,,,,,,,,,,,"Roanoke, VA Urbanized Area","75421",,,,,,,"40000US75421","Roanoke, VA Urbanized Area",44750,"Roanoke, VA Urbanized Area",2160
"G75637","2010","US",,,,,,,,,,,,,,,"Rochester, MN Urbanized Area","75637",,,,,,,"40000US75637","Rochester, MN Urbanized Area",54864,"Rochester, MN Urbanized Area",3293
"G75664","2010","US",,,,,,,,,,,,,,,"Rochester, NY Urbanized Area","75664",,,,,,,"40000US75664","Rochester, NY Urbanized Area",48091,"Rochester, NY Urbanized Area",1696
"G75718","2010","US",,,,,,,,,,,,,,,"Rockford, IL Urbanized Area","75718",,,,,,,"40000US75718","Rockford, IL Urbanized Area",41944,"Rockford, IL Urbanized Area",1713
"G75745","2010","US",,,,,,,,,,,,,,,"Rock Hill, SC Urbanized Area","75745",,,,,,,"40000US75745","Rock Hill, SC Urbanized Area",41106,"Rock Hill, SC Urbanized Area",6121
"G76474","2010","US",,,,,,,,,,,,,,,"Round Lake Beach--McHenry--Grayslake, IL--WI Urbanized Area","76474",,,,,,,"40000US76474","Round Lake Beach--McHenry--Grayslake, IL--WI Urbanized Area",65467,"Round Lake Beach--McHenry--Grayslake, IL--WI Urbanized Area",2737
"G77068","2010","US",,,,,,,,,,,,,,,"Sacramento, CA Urbanized Area","77068",,,,,,,"40000US77068","Sacramento, CA Urbanized Area",52120,"Sacramento, CA Urbanized Area",1179
"G77149","2010","US",,,,,,,,,,,,,,,"Saginaw, MI Urbanized Area","77149",,,,,,,"40000US77149","Saginaw, MI Urbanized Area",37027,"Saginaw, MI Urbanized Area",2333
"G77230","2010","US",,,,,,,,,,,,,,,"St. Augustine, FL Urbanized Area","77230",,,,,,,"40000US77230","St. Augustine, FL Urbanized Area",42613,"St. Augustine, FL Urbanized Area",4817
"G77257","2010","US",,,,,,,,,,,,,,,"St. Charles, MD Urbanized Area","77257",,,,,,,"40000US77257","St. Charles, MD Urbanized Area",81849,"St. Charles, MD Urbanized Area",6213
"G77338","2010","US",,,,,,,,,,,,,,,"St. Cloud, MN Urbanized Area","77338",,,,,,,"40000US77338","St. Cloud, MN Urbanized Area",42692,"St. Cloud, MN Urbanized Area",2849
"G77446","2010","US",,,,,,,,,,,,,,,"St. George, UT Urbanized Area","77446",,,,,,,"40000US77446","St. George, UT Urbanized Area",47500,"St. George, UT Urbanized Area",5422
"G77743","2010","US",,,,,,,,,,,,,,,"St. Joseph, MO--KS Urbanized Area","77743",,,,,,,"40000US77743","St. Joseph, MO--KS Urbanized Area",40542,"St. Joseph, MO--KS Urbanized Area",4964
"G77770","2010","US",,,,,,,,,,,,,,,"St. Louis, MO--IL Urbanized Area","77770",,,,,,,"40000US77770","St. Louis, MO--IL Urbanized Area",50509,"St. Louis, MO--IL Urbanized Area",637
"G78229","2010","US",,,,,,,,,,,,,,,"Salem, OR Urbanized Area","78229",,,,,,,"40000US78229","Salem, OR Urbanized Area",44649,"Salem, OR Urbanized Area",2138
"G78310","2010","US",,,,,,,,,,,,,,,"Salinas, CA Urbanized Area","78310",,,,,,,"40000US78310","Salinas, CA Urbanized Area",49748,"Salinas, CA Urbanized Area",2908
"G78364","2010","US",,,,,,,,,,,,,,,"Salisbury, MD--DE Urbanized Area","78364",,,,,,,"40000US78364","Salisbury, MD--DE Urbanized Area",42321,"Salisbury, MD--DE Urbanized Area",4369
"G78499","2010","US",,,,,,,,,,,,,,,"Salt Lake City, UT Urbanized Area","78499",,,,,,,"40000US78499","Salt Lake City, UT Urbanized Area",55435,"Salt Lake City, UT Urbanized Area",1249
"G78553","2010","US",,,,,,,,,,,,,,,"San Angelo, TX Urbanized Area","78553",,,,,,,"40000US78553","San Angelo, TX Urbanized Area",35012,"San Angelo, TX Urbanized Area",4244
