GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTA,NECTAA,CNECTAA,NECTADIV,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G7165071654","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Boston-Cambridge-Quincy, MA NECTA Division","71654",,,,,,,,"35500US7165071654","Boston-Cambridge-Quincy, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",70724,"Boston-Cambridge-Quincy, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",1114
"G7165072104","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Brockton-Bridgewater-Easton, MA NECTA Division","72104",,,,,,,,"35500US7165072104","Brockton-Bridgewater-Easton, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",67178,"Brockton-Bridgewater-Easton, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",4480
"G7165073104","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Framingham, MA NECTA Division","73104",,,,,,,,"35500US7165073104","Framingham, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",80167,"Framingham, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",5658
"G7165073604","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Haverhill-North Andover-Amesbury, MA-NH NECTA Division","73604",,,,,,,,"35500US7165073604","Haverhill-North Andover-Amesbury, MA-NH NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",71637,"Haverhill-North Andover-Amesbury, MA-NH NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",2167
"G7165074204","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Lawrence-Methuen-Salem, MA-NH NECTA Division","74204",,,,,,,,"35500US7165074204","Lawrence-Methuen-Salem, MA-NH NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",45980,"Lawrence-Methuen-Salem, MA-NH NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",2359
"G7165074804","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division","74804",,,,,,,,"35500US7165074804","Lowell-Billerica-Chelmsford, MA-NH NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",66080,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",3412
"G7165075404","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Nashua, NH-MA NECTA Division","75404",,,,,,,,"35500US7165075404","Nashua, NH-MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",74486,"Nashua, NH-MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",2617
"G7165076524","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Peabody, MA NECTA Division","76524",,,,,,,,"35500US7165076524","Peabody, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",55449,"Peabody, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",2284
"G7165078254","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,"Taunton-Norton-Raynham, MA NECTA Division","78254",,,,,,,,"35500US7165078254","Taunton-Norton-Raynham, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",58430,"Taunton-Norton-Raynham, MA NECTA Division; Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",3985
